title,description,category,resolution,priority
DNS resolution failures for internal services,Internal DNS resolution failing intermittently. *.svc.cluster.local not resolving. Affecting 6 services including SSO Portal. DNS server: 115.14.234.159. Started 15 minutes ago.,Network,"1. Check DNS server health and query logs.
2. Verify DNS zone configurations and SOA records.
3. Flush DNS cache on affected clients: `ipconfig /flushdns` or equivalent.
4. Check if DNS server is overwhelmed — add secondary DNS.
5. Verify network ACLs are not blocking DNS (UDP/TCP 53).
6. Test resolution with `nslookup` and `dig` for debugging.",High
Network latency spike between us-central1 and eu-central-1,Cross-region network latency between AWS ap-south-1 and us-west-2 spiked from 29ms to 261ms. Affecting Admin Console which has components in both regions. Frontend reporting degraded performance.,Network,"1. Check Azure health dashboard for network issues.
2. Run traceroute/mtr to identify the network hop causing latency.
3. If provider issue, open a support case with Azure.
4. Enable caching at the edge to reduce cross-region calls.
5. Consider deploying service replicas in the same region.
6. Implement circuit breakers for cross-region dependencies.",Medium
Ticket System file upload failing with size limit error,"Users cannot upload files larger than 10MB in CI/CD Pipeline. Error: ""Request entity too large"" or NullPointerException. This is blocking Compliance from uploading contracts.",Application,"1. Check and increase upload size limits in the web server config (nginx/Apache).
2. Update application-level body parser limits.
3. Verify cloud storage (S3/GCS) bucket permissions.
4. Consider implementing multipart/chunked upload for large files.
5. Add user-friendly error messages for size limit violations.",Low
Azure service quota exceeded in westeurope,Hitting service quota limits for NAT Gateways in Azure eu-west-1. Cannot provision new resources for Cloud.,Infrastructure,"1. Review current quota usage in Azure console.
2. Submit a service quota increase request.
3. Clean up unused/orphaned resources.
4. Consider using a different region for non-critical workloads.
5. Implement resource tagging and lifecycle policies.",Medium
PostgreSQL replication lag at 648 seconds,Read replica of PostgreSQL on prod-api-22 has a replication lag of 2125 seconds. Admin Console reads from the replica are returning stale data. This is affecting user profile reads. Environment: DR.,Database,"1. Check replica status and identify the bottleneck.
2. Review write throughput on the primary — check for bulk operations.
3. Ensure the replica has sufficient IOPS and network bandwidth.
4. Temporarily direct reads to the primary if lag is critical.
5. Consider adding more replicas or upgrading instance size.
6. Set up replication lag monitoring with 60s threshold alerts.",Medium
Reporting Engine file upload failing with size limit error,"Users cannot upload files larger than 5MB in Chat Service. Error: ""Request entity too large"" or EPERM. This is blocking Security from uploading spreadsheets.",Application,"1. Check and increase upload size limits in the web server config (nginx/Apache).
2. Update application-level body parser limits.
3. Verify cloud storage (S3/GCS) bucket permissions.
4. Consider implementing multipart/chunked upload for large files.
5. Add user-friendly error messages for size limit violations.",Low
Phishing email reported by Cloud team members,Multiple users from Compliance reported a phishing email impersonating Microsoft. Email contains a fake invoice. 27 users may have interacted with it.,Security,"1. Block the sender domain at the email gateway.
2. Search mailboxes for the phishing email and delete all instances.
3. Identify users who clicked the link or opened the attachment.
4. Force password resets for affected users.
5. Run endpoint scans on machines that interacted with the email.
6. Send a company-wide phishing awareness reminder.",Critical
Redis backup job failed for sandbox,Nightly Redis backup for UAT environment failed at upload to S3. Error: permission denied on backup directory. Last successful backup was 3 days ago.,Database,"1. Check backup job logs for the specific error.
2. Verify backup storage has sufficient space.
3. Ensure backup service account has correct permissions.
4. Run a manual backup immediately to restore the backup chain.
5. Verify backup integrity with a test restore.
6. Set up backup failure alerts to catch issues within 24 hours.",Critical
Load balancer health check failures for Inventory Manager,"ALB load balancer reporting 3 out of 9 backend targets as unhealthy for Admin Console. Health check path: /api/status. Traffic being sent to fewer instances, causing overload.",Network,"1. Check health check endpoint on failing instances — curl manually.
2. Verify security groups allow health check traffic from the load balancer.
3. Check if application is listening on the expected port.
4. Review application health check logic — it may be failing on DB/dependency checks.
5. Restart unhealthy instances and monitor.
6. Increase health check timeout/threshold to avoid flapping.",Critical
API response times degraded for Customer Portal,Average API response time for HR Dashboard has increased from 105ms to 6s. Users reporting slow page loads. Security dashboard shows timeout spikes. Started since this morning ago.,Application,"1. Check APM/tracing for slowest endpoints.
2. Identify bottleneck: database queries, external API calls, or compute.
3. Add database query indexes if N+1 queries detected.
4. Implement caching for frequently accessed data.
5. Scale horizontally if load has genuinely increased.",High
Customer Portal memory leak causing OOM crashes,"CRM Portal on staging-proxy-10 is consuming increasing memory over time, eventually hitting OOM and crashing. RSS grows from 492MB to 4GB within 11 hours. Environment: pre-prod.",Application,"1. Generate a heap dump for analysis: use appropriate profiler.
2. Identify leaking objects/connections using profiling tools.
3. Check for unclosed database connections, event listeners, or cache growth.
4. Apply fix and deploy with memory limits.
5. Set up memory usage alerting at 80% of container limit.",High
Group membership update for Security,5 users need to be removed from the read-only group for HR Dashboard. Requested by team lead. Reason: project assignment.,Access Management,"1. Verify the request with the team lead/manager.
2. Review the group permissions to ensure appropriateness.
3. Add/remove the specified users from the group.
4. Verify each user's access is updated correctly.
5. Notify affected users of the change.
6. Update the team access matrix documentation.",Low
Grafana build failures on staging-worker-7,GitHub Actions pipeline has been failing for the last since this morning on prod-cache-9. Error: SEGFAULT. All deployments to pre-prod are blocked. Team Platform Engineering is affected.,Infrastructure,"1. Check Consul system logs for root cause.
2. Restart the build agent/runner service.
3. Verify network connectivity to artifact repositories.
4. Clear workspace cache and retry the build.
5. If persistent, provision a new build agent.",High
Payment Gateway login page broken after update,"Users cannot log into HR Dashboard after the latest release. Login form submits but returns a blank page or ERR_CONNECTION_REFUSED. Affecting all users on Firefox 121, macOS Sonoma. SSO redirect flow is broken.",Application,"1. Check frontend console errors in the browser.
2. Verify SSO/OAuth callback URLs are correctly configured.
3. Check if the auth service/identity provider is reachable.
4. Review recent code changes to the login flow.
5. Roll back the frontend build if needed and redeploy.",Critical
MFA enrollment issues for Frontend users,18 users from Database unable to complete MFA enrollment with Google Authenticator. QR code not scanning. Users cannot access MFA-protected resources.,Access Management,"1. Reset MFA enrollment for the affected users.
2. Generate new QR codes/activation links.
3. Walk users through enrollment step-by-step.
4. Verify device time is accurate (TOTP is time-sensitive).
5. Offer alternative MFA methods (SMS/email) as backup.
6. If hardware token issue, replace the security key.",Medium
Oracle deadlock detected in Ticket System,Frequent deadlocks occurring in Elasticsearch when Monitoring Dashboard processes concurrent order updates. 28 deadlocks in the last hour. Transaction rollbacks affecting user experience.,Database,"1. Analyze deadlock logs to identify the conflicting transactions.
2. Review application locking order — ensure consistent acquisition order.
3. Reduce transaction scope and duration.
4. Add appropriate row-level locking hints.
5. Implement retry logic for deadlock errors in application code.
6. Consider optimistic locking where possible.",High
Malware detected on endpoint prod-db-12,Endpoint protection (CrowdStrike) flagged a ransomware on qa-web-27 used by pooja.sharma@company.com. File: svchost_helper.dll. Status: partially removed.,Security,"1. Immediately isolate the affected machine from the network.
2. Run a full system scan with the endpoint protection tool.
3. Check if the malware has spread to other machines on the network.
4. Reset all credentials used on the affected machine.
5. Reimage the machine if the infection is severe.
6. Submit the malware sample to the threat intelligence team.",Critical
Mobile app crashing on iOS for HR Dashboard,The mobile app for Reporting Engine is crashing immediately on launch for Android 14 users. Crash reports show SEGFAULT. Approximately 1684 crash reports in the last 10 hours.,Application,"1. Pull crash reports from Crashlytics/Sentry.
2. Identify the crashing stack trace and affected code path.
3. Release a hotfix build with the crash protection.
4. If API-related, add backward compatibility on the server side.
5. Push the fixed build to App Store/Play Store as an expedited review.",High
Suspicious login attempts detected for amit.lee@company.com,Security alert: 20 failed login attempts detected for account pooja.williams@company.com from IP 42.209.121.42 (unknown VPN). Account may be under brute-force attack. Current status: still active.,Security,"1. Temporarily lock the affected user account.
2. Block the source IP at the WAF/firewall level.
3. Reset the user's password and require MFA reenrollment.
4. Review login audit logs for any successful unauthorized access.
5. Notify the user and their manager about the incident.
6. Add the IP range to the threat intelligence blocklist.",Critical
AWS service quota exceeded in eu-central-1,Hitting service quota limits for NAT Gateways in Azure eu-west-1. Cannot provision new resources for SRE.,Infrastructure,"1. Review current quota usage in AWS console.
2. Submit a service quota increase request.
3. Clean up unused/orphaned resources.
4. Consider using a different region for non-critical workloads.
5. Implement resource tagging and lifecycle policies.",Medium
Unauthorized access to AWS console detected,CloudTrail/Activity Log shows unauthorized API calls from an unrecognized IP 191.48.139.243 using IAM user admin. Actions include: ListBuckets. Credentials may be compromised.,Security,"1. Immediately rotate/deactivate the compromised IAM credentials.
2. Review CloudTrail logs for all actions taken by the compromised user.
3. Revert any unauthorized changes (new users, policies, resources).
4. Enable MFA on all IAM accounts if not already enabled.
5. Implement IP-based access restrictions for console access.
6. Conduct a full IAM access review.",Critical
Mobile app crashing on iOS for CRM Portal,The mobile app for API Gateway is crashing immediately on launch for iOS 17 users. Crash reports show NullPointerException. Approximately 893 crash reports in the last 5 hours.,Application,"1. Pull crash reports from Crashlytics/Sentry.
2. Identify the crashing stack trace and affected code path.
3. Release a hotfix build with the crash protection.
4. If API-related, add backward compatibility on the server side.
5. Push the fixed build to App Store/Play Store as an expedited review.",Critical
Monitoring alerts flooding from sandbox cluster,Receiving 306 alerts per hour from Terraform for the production environment. Alert fatigue is causing the Frontend team to miss real issues. Most alerts are for high memory.,Infrastructure,"1. Review and categorize current alert rules.
2. Increase alert thresholds for non-critical metrics.
3. Add alert grouping and deduplication rules.
4. Implement alert silencing for known maintenance windows.
5. Create tiered alerting: P1 pages, P2 Slack, P3 dashboard only.",Medium
Permission request for GCP resources,alex.garcia@company.com from Security requesting read-only access to Azure Lambda functions in DR environment. Business justification: compliance audit.,Access Management,"1. Verify the request and manager approval.
2. Create/identify an appropriate IAM role or group.
3. Grant scoped access following least-privilege principle.
4. Set an access expiration date if this is temporary access.
5. Document the access grant in the access management log.
6. Notify the user that access has been provisioned.",Low
Jammed Printer,My printer is jammed and I don't know how to fix it.,Infrastructure,1. Turn off the printer. 2. Open the printer cover. 3. Gently pull out the jammed paper.,Low
Adobe License Request,I need a license for Adobe to do my work.,Infrastructure,1. Fill out the software request form. 2. Wait for approval from your manager. 3. Download and install Adobe.,Medium
Monitor Not Turning On,My monitor won't turn on and I don't know why.,Infrastructure,1. Check if the monitor is plugged in. 2. Try turning it on with a different power cord. 3. Contact IT for further assistance.,Medium
Guest WiFi Connection,How do I connect to the guest WiFi?,Infrastructure,1. Go to your WiFi settings. 2. Select the guest WiFi network. 3. Enter the guest WiFi password.,Low
Phishing Email Report,I got a suspicious email that I think is a phishing scam.,Infrastructure,1. Do not click on any links. 2. Forward the email to the IT department. 3. Delete the email.,Medium
Internet Connection Issue,I'm having trouble connecting to the internet.,Infrastructure,1. Restart your computer. 2. Check your network cables. 3. Contact IT for further assistance.,Medium
Lost Laptop,I lost my company laptop and I don't know what to do.,Infrastructure,1. Report the incident to your manager. 2. Fill out a lost device report form. 3. Contact IT to remote wipe the device.,Medium
Desktop Not Booting,My desktop computer won't boot up.,Infrastructure,1. Check if the power cord is plugged in. 2. Try booting in safe mode. 3. Contact IT for further assistance.,Medium
Slow Computer,My computer is running very slowly.,Infrastructure,1. Close unnecessary programs. 2. Check for updates. 3. Contact IT for further assistance.,Low
Printer Not Printing,My printer is not printing and I don't know why.,Infrastructure,1. Check the paper tray. 2. Check the ink levels. 3. Contact IT for further assistance.,Low
Network Drive Access,I need access to a network drive.,Infrastructure,1. Fill out a network drive access request form. 2. Wait for approval from your manager. 3. Map the network drive to your computer.,Medium
VPN Connection Issue,I'm having trouble connecting to the VPN.,Infrastructure,1. Check your internet connection. 2. Restart the VPN client. 3. Contact IT for further assistance.,Medium
Conference Room Equipment,The conference room equipment is not working.,Infrastructure,1. Check if the equipment is turned on. 2. Check the cables. 3. Contact IT for further assistance.,Medium
Email Account Issue,I'm having trouble with my email account.,Infrastructure,1. Check your email settings. 2. Restart your computer. 3. Contact IT for further assistance.,Medium
Phone System Issue,The phone system is not working.,Infrastructure,1. Check if the phone is plugged in. 2. Restart the phone system. 3. Contact IT for further assistance.,Medium
Software Installation,I need a specific software installed on my computer.,Infrastructure,1. Fill out a software request form. 2. Wait for approval from your manager. 3. Contact IT to install the software.,Medium
Computer Mouse Issue,My computer mouse is not working.,Infrastructure,1. Check the batteries. 2. Try using a different mouse. 3. Contact IT for further assistance.,Low
Keyboard Issue,My keyboard is not working.,Infrastructure,1. Check the connection. 2. Try using a different keyboard. 3. Contact IT for further assistance.,Low
Scanner Issue,The scanner is not working.,Infrastructure,1. Check if the scanner is turned on. 2. Check the cables. 3. Contact IT for further assistance.,Medium
Fax Machine Issue,The fax machine is not working.,Infrastructure,1. Check if the fax machine is turned on. 2. Check the phone line. 3. Contact IT for further assistance.,Medium
Conference Room TV,The conference room TV is not working.,Infrastructure,1. Check if the TV is turned on. 2. Check the cables. 3. Contact IT for further assistance.,Medium
Whiteboard Issue,The whiteboard is not working.,Infrastructure,1. Check if the whiteboard is turned on. 2. Check the markers. 3. Contact IT for further assistance.,Low
Projector Issue,The projector is not working.,Infrastructure,1. Check if the projector is turned on. 2. Check the cables. 3. Contact IT for further assistance.,Medium
Microphone Issue,The microphone is not working.,Infrastructure,1. Check the connection. 2. Try using a different microphone. 3. Contact IT for further assistance.,Low
Webcam Issue,The webcam is not working.,Infrastructure,1. Check the connection. 2. Try using a different webcam. 3. Contact IT for further assistance.,Low
Network Issues,I'm having trouble connecting to the network.,Infrastructure,1. Restart your computer. 2. Check your network cables. 3. Contact IT for further assistance.,Medium
Computer Freeze,My computer is freezing and I don't know why.,Infrastructure,1. Restart your computer. 2. Check for updates. 3. Contact IT for further assistance.,Medium
Password Reset,I need to reset my password.,Infrastructure,1. Go to the login page. 2. Click on 'Forgot Password'. 3. Follow the prompts to reset your password.,Low
Account Lockout,My account is locked out and I don't know why.,Infrastructure,1. Contact IT to reset your password. 2. Wait for the account to be unlocked. 3. Be careful with your login attempts.,Medium
Email Attachment Issue,I'm having trouble sending an email attachment.,Infrastructure,1. Check the file size. 2. Check the file type. 3. Contact IT for further assistance.,Low
Phone Voicemail,I'm having trouble accessing my phone voicemail.,Infrastructure,1. Check your phone settings. 2. Contact IT for further assistance.,Medium
Conference Call Issue,I'm having trouble with a conference call.,Infrastructure,1. Check your phone settings. 2. Check the conference call settings. 3. Contact IT for further assistance.,Medium
Video Conference Issue,I'm having trouble with a video conference.,Infrastructure,1. Check your internet connection. 2. Check the video conference settings. 3. Contact IT for further assistance.,Medium
Network Share Issue,I'm having trouble accessing a network share.,Infrastructure,1. Check your network connection. 2. Check the share settings. 3. Contact IT for further assistance.,Medium
Printer Sharing Issue,I'm having trouble sharing a printer.,Infrastructure,1. Check the printer settings. 2. Check the network settings. 3. Contact IT for further assistance.,Low
Internet Browser Issue,I'm having trouble with my internet browser.,Infrastructure,1. Check for updates. 2. Clear the cache. 3. Contact IT for further assistance.,Low
Computer Performance,My computer is running slowly and I don't know why.,Infrastructure,1. Check for updates. 2. Check for malware. 3. Contact IT for further assistance.,Medium
Disk Space Issue,I'm running out of disk space and I don't know what to do.,Infrastructure,1. Check your files. 2. Delete unnecessary files. 3. Contact IT for further assistance.,Low
Software Update Issue,I'm having trouble updating my software.,Infrastructure,1. Check for updates. 2. Contact IT for further assistance.,Low
Hardware Issue,I'm having trouble with my hardware and I don't know what to do.,Infrastructure,1. Check the hardware settings. 2. Contact IT for further assistance.,Medium
Forgotten Password,I forgot my password and I'm locked out of my account.,Application,1. Go to the login page. 2. Click on 'Forgot Password'. 3. Enter your email address. 4. Follow the instructions in the email to reset your password.,Low
Adobe License Request,I need a license for Adobe Creative Cloud for my work.,Application,1. Submit a request to the IT department. 2. Provide your employee ID and job title. 3. Wait for the license to be assigned to your account.,Medium
Printer Not Working,My printer is not printing anything.,Application,1. Check the printer is turned on. 2. Check the paper tray is not empty. 3. Restart the printer.,Low
Monitor Issue,My monitor won't turn on.,Application,1. Check the power cord is plugged in. 2. Check the monitor is set to the correct input. 3. Try turning it on and off again.,Low
Guest WiFi Connection,I'm having trouble connecting to the guest WiFi.,Application,1. Go to your WiFi settings. 2. Select the guest WiFi network. 3. Enter the password provided by the IT department.,Low
Phishing Email Reported,I received a suspicious email that I think is phishing.,Application,1. Do not click on any links or open any attachments. 2. Forward the email to the IT department. 3. Delete the email from your inbox.,Medium
Microsoft Office Issues,I'm having trouble with Microsoft Word.,Application,1. Try restarting the application. 2. Check for updates. 3. Contact the IT department for further assistance.,Low
VPN Connection,I'm having trouble connecting to the VPN.,Application,1. Check your internet connection. 2. Check the VPN software is up to date. 3. Try restarting the VPN software.,Medium
Email Not Syncing,My email is not syncing on my phone.,Application,1. Check your email settings. 2. Check your internet connection. 3. Try restarting your phone.,Low
Software Installation,I need to install a new software for my work.,Application,1. Submit a request to the IT department. 2. Provide the software name and version. 3. Wait for the IT department to install the software.,Medium
Login Issues,I'm having trouble logging in to the system.,Application,1. Check your username and password. 2. Check the system is available. 3. Try resetting your password.,Low
Browser Issues,I'm having trouble with my web browser.,Application,1. Try restarting the browser. 2. Check for updates. 3. Try clearing the browser cache.,Low
Network Drive Access,I'm having trouble accessing the network drive.,Application,1. Check your network connection. 2. Check the drive is mapped correctly. 3. Try restarting your computer.,Low
Printer Jam,The printer is jammed.,Application,1. Turn off the printer. 2. Open the printer cover. 3. Carefully remove the jammed paper.,Low
Password Reset,I need to reset my password.,Application,1. Go to the login page. 2. Click on 'Forgot Password'. 3. Follow the instructions to reset your password.,Low
Software Update,I need to update my software.,Application,1. Check for updates. 2. Follow the instructions to install the update. 3. Restart your computer if necessary.,Low
Email Account Setup,I need to set up my email account on my phone.,Application,1. Go to your email settings. 2. Select 'Add Account'. 3. Follow the instructions to set up your email account.,Low
Computer Freeze,My computer is frozen.,Application,1. Try restarting your computer. 2. Check for updates. 3. Try closing unnecessary programs.,Low
Internet Connection,I'm having trouble with my internet connection.,Application,1. Check your network connection. 2. Check the router is turned on. 3. Try restarting the router.,Low
Login Credentials,I forgot my login credentials.,Application,1. Go to the login page. 2. Click on 'Forgot Password'. 3. Follow the instructions to reset your password.,Low
Software Compatibility,I'm having trouble with software compatibility.,Application,1. Check the system requirements. 2. Check for updates. 3. Try running the software in compatibility mode.,Medium
Password Expiration,I received a notification that my password is expiring.,Application,1. Go to the login page. 2. Click on 'Change Password'. 3. Follow the instructions to change your password.,Low
Email Notification,I'm not receiving email notifications.,Application,1. Check your email settings. 2. Check the notification settings. 3. Try restarting your computer.,Low
System Update,I need to update my system.,Application,1. Check for updates. 2. Follow the instructions to install the update. 3. Restart your computer if necessary.,Low
Browser Extension,I'm having trouble with a browser extension.,Application,1. Try disabling the extension. 2. Try updating the extension. 3. Try uninstalling and reinstalling the extension.,Low
Network Connectivity,I'm having trouble with network connectivity.,Application,1. Check your network connection. 2. Check the router is turned on. 3. Try restarting the router.,Low
Application Crashing,An application is crashing on my computer.,Application,1. Try restarting the application. 2. Check for updates. 3. Try uninstalling and reinstalling the application.,Low
Email Signature,I need to set up my email signature.,Application,1. Go to your email settings. 2. Select 'Signatures'. 3. Follow the instructions to set up your email signature.,Low
Computer Performance,My computer is running slowly.,Application,1. Try closing unnecessary programs. 2. Check for updates. 3. Try restarting your computer.,Low
Printer Configuration,I need to configure my printer.,Application,1. Go to your printer settings. 2. Select 'Configure'. 3. Follow the instructions to configure your printer.,Low
Software Installation Request,I need to install a new software.,Application,1. Submit a request to the IT department. 2. Provide the software name and version. 3. Wait for the IT department to install the software.,Medium
Login Issue,I'm having trouble logging in to the system.,Application,1. Check your username and password. 2. Check the system is available. 3. Try resetting your password.,Low
Email Setup,I need to set up my email account.,Application,1. Go to your email settings. 2. Select 'Add Account'. 3. Follow the instructions to set up your email account.,Low
Computer Virus,I think my computer has a virus.,Application,1. Run a virus scan. 2. Check for updates. 3. Try restarting your computer in safe mode.,Medium
Software License Request,I need a software license.,Application,1. Submit a request to the IT department. 2. Provide the software name and version. 3. Wait for the IT department to assign the license.,Medium
Browser Issue,I'm having trouble with my web browser.,Application,1. Try restarting the browser. 2. Check for updates. 3. Try clearing the browser cache.,Low
Forgotten Password,I forgot my login password and I need help to reset it.,Security,"1. Go to login page, 2. Click Forgot Password, 3. Follow prompts to reset.",Low
Phishing Email,I received a suspicious email and I'm not sure if it's real or not.,Security,"1. Do not click any links, 2. Report to IT, 3. Wait for further instructions.",Medium
Lost Laptop,I lost my company laptop and I'm worried about sensitive data.,Security,"1. Report to IT and management, 2. Change all passwords, 3. Remote wipe laptop if possible.",Medium
Unauthorized Access,I think someone has been using my login credentials.,Security,"1. Change password immediately, 2. Report to IT, 3. Monitor account activity.",Medium
Security Software Issue,My antivirus software is not updating and I'm getting warnings.,Security,"1. Restart computer, 2. Check for updates, 3. Contact IT if issue persists.",Low
Password Expiration,I'm being prompted to change my password but I don't know what to do.,Security,"1. Choose a new password, 2. Confirm changes, 3. Test login.",Low
Login Issue,I'm having trouble logging in and I think it's a security issue.,Security,"1. Check username and password, 2. Try different browser, 3. Contact IT.",Low
Suspicious Activity,I've noticed some strange activity on my computer and I'm worried about security.,Security,"1. Disconnect from internet, 2. Report to IT, 3. Run virus scan.",Medium
Firewall Issue,I'm getting a firewall warning and I don't know how to resolve it.,Security,"1. Check firewall settings, 2. Restart computer, 3. Contact IT if issue persists.",Low
Account Lockout,My account is locked and I need help to unlock it.,Security,"1. Wait 30 minutes, 2. Try logging in again, 3. Contact IT if issue persists.",Low
Secure Data Transfer,I need to transfer sensitive data but I'm not sure how to do it securely.,Security,"1. Use encrypted method, 2. Verify recipient, 3. Confirm transfer.",Medium
Two-Factor Authentication,I'm having trouble with two-factor authentication and I need help.,Security,"1. Check authentication method, 2. Try different device, 3. Contact IT.",Low
Virus Infection,I think my computer has a virus and I need help to remove it.,Security,"1. Run virus scan, 2. Disconnect from internet, 3. Contact IT.",Medium
Secure Password,I need help creating a secure password.,Security,"1. Use strong password generator, 2. Avoid common patterns, 3. Keep password confidential.",Low
Data Encryption,I need to encrypt some sensitive data but I'm not sure how.,Security,"1. Use encryption software, 2. Choose secure method, 3. Verify encryption.",Medium
Login Attempt,I've received a notification about a failed login attempt and I'm worried.,Security,"1. Change password, 2. Monitor account activity, 3. Contact IT.",Medium
Secure Communication,I need to communicate sensitive information but I'm not sure how to do it securely.,Security,"1. Use secure method, 2. Verify recipient, 3. Keep conversation confidential.",Medium
System Update,I'm being prompted to update my system but I'm not sure if it's secure.,Security,"1. Check update source, 2. Verify authenticity, 3. Apply update.",Low
Password Reset,I need to reset my password but I'm not sure how.,Security,"1. Go to login page, 2. Click Forgot Password, 3. Follow prompts.",Low
Security Alert,I've received a security alert and I'm not sure what to do.,Security,"1. Read alert carefully, 2. Take recommended action, 3. Contact IT if unsure.",Medium
Network Security,I'm worried about the security of our network.,Security,"1. Contact IT, 2. Discuss concerns, 3. Implement security measures.",Medium
Device Security,I'm worried about the security of my device.,Security,"1. Keep software up-to-date, 2. Use antivirus software, 3. Be cautious with downloads.",Low
Email Security,I'm worried about the security of my email account.,Security,"1. Use strong password, 2. Enable two-factor authentication, 3. Be cautious with links and attachments.",Medium
Data Protection,I need to protect some sensitive data.,Security,"1. Use encryption, 2. Limit access, 3. Keep data backed up.",Medium
Login Security,I'm worried about the security of my login credentials.,Security,"1. Use strong password, 2. Enable two-factor authentication, 3. Monitor account activity.",Medium
Software Security,I'm worried about the security of our software.,Security,"1. Keep software up-to-date, 2. Use antivirus software, 3. Be cautious with downloads.",Medium
System Security,I'm worried about the security of our system.,Security,"1. Contact IT, 2. Discuss concerns, 3. Implement security measures.",Medium
Security Policy,I need to understand our security policy.,Security,"1. Read policy document, 2. Ask questions, 3. Follow guidelines.",Low
Security Training,I need security training.,Security,"1. Contact IT, 2. Schedule training, 3. Complete training.",Low
Security Incident,I've experienced a security incident.,Security,"1. Report to IT, 2. Follow incident response plan, 3. Take corrective action.",Medium
Security Audit,I need to perform a security audit.,Security,"1. Contact IT, 2. Schedule audit, 3. Review and implement recommendations.",Medium
Security Risk,I've identified a security risk.,Security,"1. Report to IT, 2. Assess risk, 3. Implement mitigation measures.",Medium
Security Vulnerability,I've identified a security vulnerability.,Security,"1. Report to IT, 2. Assess vulnerability, 3. Implement patch or fix.",Medium
Security Threat,I've identified a security threat.,Security,"1. Report to IT, 2. Assess threat, 3. Implement mitigation measures.",Medium
Security Update,I need to apply a security update.,Security,"1. Check update source, 2. Verify authenticity, 3. Apply update.",Low
Security Patch,I need to apply a security patch.,Security,"1. Check patch source, 2. Verify authenticity, 3. Apply patch.",Low
Security Fix,I need to apply a security fix.,Security,"1. Check fix source, 2. Verify authenticity, 3. Apply fix.",Low
Security Configuration,I need to configure security settings.,Security,"1. Check configuration guide, 2. Verify settings, 3. Test configuration.",Low
Security Compliance,I need to ensure security compliance.,Security,"1. Check compliance guide, 2. Verify settings, 3. Implement necessary measures.",Medium
Security Monitoring,I need to monitor security.,Security,"1. Check monitoring guide, 2. Verify settings, 3. Review logs and reports.",Medium
Security Testing,I need to perform security testing.,Security,"1. Check testing guide, 2. Verify settings, 3. Conduct testing and review results.",Medium
Security Review,I need to review security.,Security,"1. Check review guide, 2. Verify settings, 3. Review logs and reports.",Medium
Security Assessment,I need to perform a security assessment.,Security,"1. Check assessment guide, 2. Verify settings, 3. Conduct assessment and review results.",Medium
Security Evaluation,I need to evaluate security.,Security,"1. Check evaluation guide, 2. Verify settings, 3. Evaluate and review results.",Medium
Cannot Access Database,I am trying to get into the database but it says my password is incorrect. I know I am using the right password.,Database,1. Check that caps lock is not on. 2. Try resetting your password.,Low
Database Query Not Working,I am trying to run a query but it keeps giving me an error message.,Database,1. Check the query for spelling mistakes. 2. Contact the database administrator for help.,Medium
Need Database Access,I need to be able to get into the database for my job but I don't have permission.,Database,1. Fill out the database access request form. 2. Wait for the database administrator to approve your request.,Low
Database Running Slow,The database is really slow today and it's hard to get my work done.,Database,1. Try closing other programs that use the database. 2. Contact the database administrator to see if there are any issues.,Medium
Forgot Database Password,I forgot my database password and I don't know how to reset it.,Database,1. Go to the database login page. 2. Click on the 'forgot password' link.,Low
Database Connection Issue,I am having trouble connecting to the database.,Database,1. Check your internet connection. 2. Try restarting your computer.,Medium
Need Help with Database Query,I need help writing a query to get the data I need.,Database,1. Contact the database administrator for help. 2. Provide the administrator with an example of what you are trying to accomplish.,Medium
Database Login Not Working,I am trying to log in to the database but it's not working.,Database,1. Check that you are using the correct username and password. 2. Try resetting your password.,Low
Database Permission Issue,I don't have permission to do what I need to do in the database.,Database,1. Contact the database administrator to request the necessary permissions. 2. Provide the administrator with a reason for the request.,Low
Database Data Not Updating,The data in the database is not updating like it should.,Database,1. Check that you have saved your changes. 2. Contact the database administrator to see if there are any issues.,Medium
Need Database Training,I need training on how to use the database.,Database,1. Contact the database administrator to schedule training. 2. Provide the administrator with a list of what you need to learn.,Low
Database Error Message,I am getting an error message when I try to do something in the database.,Database,1. Take a screenshot of the error message. 2. Contact the database administrator to report the issue.,Medium
Database Not Responding,The database is not responding and I need to get my work done.,Database,1. Try restarting your computer. 2. Contact the database administrator to see if there are any issues.,Medium
Need Help with Database Report,I need help creating a report in the database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with an example of what you are trying to accomplish.,Medium
Database Login Issue,I am having trouble logging in to the database.,Database,1. Check that you are using the correct username and password. 2. Try resetting your password.,Low
Database Data Missing,Some of the data in the database is missing.,Database,1. Check that you have the necessary permissions to view the data. 2. Contact the database administrator to report the issue.,Medium
Need Database Access for New Employee,We have a new employee who needs access to the database.,Database,1. Fill out the database access request form. 2. Wait for the database administrator to approve the request.,Low
Database Query Taking Too Long,The query I am running is taking too long to complete.,Database,1. Check that the query is optimized. 2. Contact the database administrator for help.,Medium
Database Connection Refused,The database is refusing my connection attempt.,Database,1. Check that you have the necessary permissions to connect to the database. 2. Contact the database administrator to report the issue.,Medium
Need Help with Database Migration,We need help migrating our data to a new database.,Database,1. Contact the database administrator for help. 2. Provide the administrator with a plan for the migration.,Medium
Database Backup Issue,We are having trouble backing up the database.,Database,1. Check that the backup process is configured correctly. 2. Contact the database administrator to report the issue.,Medium
